Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,479.84,593.36,5.66,0.19,eia.gov,False,
2021-01-01 01:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,483.0,596.74,5.56,0.21,eia.gov,False,
2021-01-01 02:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,483.33,597.57,5.69,0.22,eia.gov,False,
2021-01-01 03:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,479.97,594.39,5.99,0.22,eia.gov,False,
2021-01-01 04:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,492.16,608.23,5.14,0.16,eia.gov,False,
2021-01-01 05:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,517.87,637.62,2.77,0.05,eia.gov,False,
2021-01-01 06:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,521.7,641.81,2.61,0.04,eia.gov,False,
2021-01-01 07:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,527.61,648.58,2.09,0.0,eia.gov,False,
2021-01-01 08:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,524.28,645.53,1.52,0.0,eia.gov,False,
2021-01-01 09:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,524.03,645.59,1.16,0.01,eia.gov,False,
2021-01-01 10:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,526.57,648.45,0.9,0.01,eia.gov,False,
2021-01-01 11:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,527.31,649.28,0.84,0.01,eia.gov,False,
2021-01-01 12:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,529.88,652.48,0.19,0.01,eia.gov,False,
2021-01-01 13:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,518.4,639.75,1.09,0.17,eia.gov,False,
2021-01-01 14:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,510.18,630.45,1.98,0.53,eia.gov,False,
2021-01-01 15:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,497.78,616.41,3.35,1.04,eia.gov,False,
2021-01-01 16:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,467.54,579.48,8.89,3.24,eia.gov,False,
2021-01-01 17:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,456.23,565.91,10.14,3.71,eia.gov,False,
2021-01-01 18:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,472.08,586.11,6.6,2.26,eia.gov,False,
2021-01-01 19:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,471.51,585.5,6.42,1.99,eia.gov,False,
2021-01-01 20:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,473.39,587.64,5.95,1.49,eia.gov,False,
