Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,653.1,685.73,4.29,0.03,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 01:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,650.74,683.59,4.62,0.03,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 02:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,634.25,670.13,5.69,0.05,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 03:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,635.32,671.9,5.61,0.03,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 04:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,658.22,690.81,4.34,0.01,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 05:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,618.59,669.03,4.88,0.02,eia.gov,False,
2021-01-01 06:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,661.13,702.0,2.55,0.0,eia.gov,False,
2021-01-01 07:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,649.23,695.38,2.77,0.0,eia.gov,False,
2021-01-01 08:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,650.96,696.48,2.76,0.0,eia.gov,False,
2021-01-01 09:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,640.68,690.39,2.92,0.02,eia.gov,False,
2021-01-01 10:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,634.93,685.46,3.37,0.03,eia.gov,False,
2021-01-01 11:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,624.11,675.51,4.25,0.04,eia.gov,False,
2021-01-01 12:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,578.92,635.86,7.7,0.2,eia.gov,False,
2021-01-01 13:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,553.29,616.14,9.52,1.95,eia.gov,False,
2021-01-01 14:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,560.77,620.64,9.51,3.32,eia.gov,False,
2021-01-01 15:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,584.66,633.76,9.34,4.03,eia.gov,False,
2021-01-01 16:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,608.71,648.98,8.61,3.91,eia.gov,False,
2021-01-01 17:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,648.41,676.13,6.95,3.14,eia.gov,False,
2021-01-01 18:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,629.44,661.35,7.89,3.42,eia.gov,False,
2021-01-01 19:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,641.69,670.28,7.14,2.82,eia.gov,False,
2021-01-01 20:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,673.4,695.2,4.95,1.34,eia.gov,False,
2021-01-01 21:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,674.25,697.96,4.23,0.59,eia.gov,False,
2021-01-01 22:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,684.27,705.49,3.6,0.06,eia.gov,False,
2021-01-01 23:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,689.82,709.17,3.41,0.02,eia.gov,False,
2021-01-02 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,658.38,688.76,4.33,0.03,eia.gov,False,
2021-01-02 01:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,642.87,679.25,4.73,0.02,eia.gov,False,
2021-01-02 02:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,628.91,670.53,5.15,0.03,eia.gov,False,
2021-01-02 03:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,635.77,676.05,4.87,0.02,eia.gov,False,
