Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,360.37,430.36,39.28,4.67,pjm.com,False,
2021-01-01 01:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,351.88,421.05,40.27,4.84,pjm.com,False,
2021-01-01 02:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,353.18,422.43,40.06,4.04,pjm.com,False,
2021-01-01 03:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,350.84,418.84,41.05,4.17,pjm.com,False,
2021-01-01 04:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,346.77,413.14,42.44,4.58,pjm.com,False,
2021-01-01 05:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,341.36,406.47,43.65,4.73,pjm.com,False,
2021-01-01 06:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,331.84,395.54,45.21,5.31,pjm.com,False,
2021-01-01 07:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,324.48,388.24,45.56,5.71,pjm.com,False,
2021-01-01 08:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,320.62,384.07,45.99,6.47,pjm.com,False,
2021-01-01 09:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,319.54,383.2,45.9,6.31,pjm.com,False,
2021-01-01 10:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,312.89,375.28,47.18,7.59,pjm.com,False,
2021-01-01 11:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,308.2,369.46,48.23,8.71,pjm.com,False,
2021-01-01 12:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,313.48,375.99,47.02,8.2,pjm.com,False,
2021-01-01 13:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,315.4,378.05,46.82,8.45,pjm.com,False,
2021-01-01 14:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,322.12,386.22,45.41,8.01,pjm.com,False,
2021-01-01 15:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,335.23,401.45,43.17,6.65,pjm.com,False,
2021-01-01 16:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,342.8,410.08,41.98,6.21,pjm.com,False,
2021-01-01 17:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,351.02,419.67,40.54,5.23,pjm.com,False,
2021-01-01 18:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,354.63,423.73,40.08,4.69,pjm.com,False,
2021-01-01 19:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,352.12,421.65,39.89,4.41,pjm.com,False,
2021-01-01 20:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,351.56,421.25,39.8,4.23,pjm.com,False,
2021-01-01 21:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,353.72,423.86,39.38,4.45,pjm.com,False,
2021-01-01 22:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,352.23,422.5,39.48,5.56,pjm.com,False,
2021-01-01 23:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,353.72,424.25,39.23,5.29,pjm.com,False,
2021-01-02 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,350.87,420.72,39.88,5.25,pjm.com,False,
2021-01-02 01:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,349.33,418.61,40.25,4.96,pjm.com,False,
2021-01-02 02:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,350.34,418.84,40.67,4.39,pjm.com,False,
2021-01-02 03:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,351.24,419.31,40.98,4.16,pjm.com,False,
2021-01-02 04:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,344.63,410.91,42.59,4.54,pjm.com,False,
2021-01-02 05:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,341.44,406.36,43.73,4.08,pjm.com,False,
2021-01-02 06:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,333.93,398.28,44.54,4.3,pjm.com,False,
2021-01-02 07:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,324.19,387.77,45.63,4.54,pjm.com,False,
2021-01-02 08:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,322.28,386.06,45.59,4.25,pjm.com,False,
2021-01-02 09:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,324.97,389.04,45.24,3.97,pjm.com,False,
2021-01-02 10:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,328.96,393.42,44.75,3.86,pjm.com,False,
2021-01-02 11:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,333.7,399.09,43.83,3.48,pjm.com,False,
2021-01-02 12:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,333.23,398.97,43.65,3.86,pjm.com,False,
2021-01-02 13:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,337.28,403.51,43.08,4.02,pjm.com,False,
