Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 01:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 02:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 03:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 04:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,23.99,100.0,100.0,eia.gov,False,
2021-01-01 05:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,23.99,100.0,100.0,eia.gov,False,
2021-01-01 06:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 07:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 08:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 09:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 10:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 11:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 12:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 13:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 14:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 15:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 16:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 17:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-01 18:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,23.99,100.0,100.0,eia.gov,False,
2021-01-01 19:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,5.3,29.53,99.26,98.61,eia.gov,False,
2021-01-01 20:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,23.99,100.0,100.0,eia.gov,False,
2021-01-01 21:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,43.82,69.77,93.89,88.57,eia.gov,False,
2021-01-01 22:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,41.89,67.76,94.17,89.16,eia.gov,False,
2021-01-01 23:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-02 00:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-02 01:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-02 02:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-02 03:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-02 04:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-02 05:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-02 06:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-02 07:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,23.99,100.0,100.0,eia.gov,False,
2021-01-02 08:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,23.98,100.0,100.0,eia.gov,False,
2021-01-02 09:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,23.99,100.0,100.0,eia.gov,False,
2021-01-02 10:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,23.97,100.0,100.0,eia.gov,False,
2021-01-02 11:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,23.99,100.0,100.0,eia.gov,False,
2021-01-02 12:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,23.98,100.0,100.0,eia.gov,False,
2021-01-02 13:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-02 14:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,23.99,100.0,100.0,eia.gov,False,
2021-01-02 15:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,23.99,100.0,100.0,eia.gov,False,
2021-01-02 16:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,1.92,26.0,99.7,99.36,eia.gov,False,
2021-01-02 17:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,2.07,26.13,99.69,99.34,eia.gov,False,
2021-01-02 18:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-02 19:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-02 20:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-02 21:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-02 22:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-02 23:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-03 00:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-03 01:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
2021-01-03 02:00:00,USA,PUD No. 1 of Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,False,
