Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,USA,Idaho Power Company,US-NW-IPCO,211.7,258.66,61.82,60.84,eia.gov,False,
2021-01-01 01:00:00,USA,Idaho Power Company,US-NW-IPCO,251.41,299.57,58.32,57.47,eia.gov,False,
2021-01-01 02:00:00,USA,Idaho Power Company,US-NW-IPCO,284.77,335.44,54.35,53.58,eia.gov,False,
2021-01-01 03:00:00,USA,Idaho Power Company,US-NW-IPCO,313.8,370.48,50.19,49.67,eia.gov,False,
2021-01-01 04:00:00,USA,Idaho Power Company,US-NW-IPCO,319.57,371.66,52.14,51.53,eia.gov,False,
2021-01-01 05:00:00,USA,Idaho Power Company,US-NW-IPCO,327.52,383.06,51.41,50.98,eia.gov,False,
2021-01-01 06:00:00,USA,Idaho Power Company,US-NW-IPCO,375.64,429.26,46.8,46.13,eia.gov,False,
2021-01-01 07:00:00,USA,Idaho Power Company,US-NW-IPCO,349.27,399.82,50.59,49.96,eia.gov,False,
2021-01-01 08:00:00,USA,Idaho Power Company,US-NW-IPCO,395.06,452.06,44.85,44.27,eia.gov,False,
2021-01-01 09:00:00,USA,Idaho Power Company,US-NW-IPCO,376.65,432.49,46.54,45.93,eia.gov,False,
2021-01-01 10:00:00,USA,Idaho Power Company,US-NW-IPCO,368.91,425.35,47.12,46.57,eia.gov,False,
2021-01-01 11:00:00,USA,Idaho Power Company,US-NW-IPCO,359.71,414.27,48.82,48.24,eia.gov,False,
2021-01-01 12:00:00,USA,Idaho Power Company,US-NW-IPCO,325.72,373.66,55.82,55.31,eia.gov,False,
2021-01-01 13:00:00,USA,Idaho Power Company,US-NW-IPCO,338.31,386.43,54.97,54.55,eia.gov,False,
2021-01-01 14:00:00,USA,Idaho Power Company,US-NW-IPCO,314.23,360.91,57.6,57.3,eia.gov,False,
2021-01-01 15:00:00,USA,Idaho Power Company,US-NW-IPCO,317.87,362.56,57.98,57.69,eia.gov,False,
2021-01-01 16:00:00,USA,Idaho Power Company,US-NW-IPCO,297.26,340.44,60.76,60.26,eia.gov,False,
2021-01-01 17:00:00,USA,Idaho Power Company,US-NW-IPCO,229.93,272.1,67.22,66.27,eia.gov,False,
2021-01-01 18:00:00,USA,Idaho Power Company,US-NW-IPCO,239.42,282.52,65.9,64.9,eia.gov,False,
2021-01-01 19:00:00,USA,Idaho Power Company,US-NW-IPCO,247.87,291.62,65.05,64.11,eia.gov,False,
2021-01-01 20:00:00,USA,Idaho Power Company,US-NW-IPCO,248.09,292.14,64.89,63.88,eia.gov,False,
2021-01-01 21:00:00,USA,Idaho Power Company,US-NW-IPCO,256.91,301.28,63.95,63.01,eia.gov,False,
2021-01-01 22:00:00,USA,Idaho Power Company,US-NW-IPCO,275.64,319.5,61.94,61.15,eia.gov,False,
2021-01-01 23:00:00,USA,Idaho Power Company,US-NW-IPCO,213.38,253.24,68.85,68.36,eia.gov,False,
2021-01-02 00:00:00,USA,Idaho Power Company,US-NW-IPCO,204.58,243.52,69.65,69.29,eia.gov,False,
2021-01-02 01:00:00,USA,Idaho Power Company,US-NW-IPCO,177.94,214.5,72.83,72.34,eia.gov,False,
2021-01-02 02:00:00,USA,Idaho Power Company,US-NW-IPCO,186.96,225.03,71.8,71.39,eia.gov,False,
2021-01-02 03:00:00,USA,Idaho Power Company,US-NW-IPCO,163.23,200.23,74.22,73.81,eia.gov,False,
2021-01-02 04:00:00,USA,Idaho Power Company,US-NW-IPCO,185.22,224.07,71.61,71.23,eia.gov,False,
2021-01-02 05:00:00,USA,Idaho Power Company,US-NW-IPCO,202.43,243.75,69.33,69.06,eia.gov,False,
2021-01-02 06:00:00,USA,Idaho Power Company,US-NW-IPCO,225.25,267.61,66.56,66.24,eia.gov,False,
2021-01-02 07:00:00,USA,Idaho Power Company,US-NW-IPCO,211.45,252.73,67.97,67.54,eia.gov,False,
2021-01-02 08:00:00,USA,Idaho Power Company,US-NW-IPCO,180.57,219.2,71.6,71.08,eia.gov,False,
2021-01-02 09:00:00,USA,Idaho Power Company,US-NW-IPCO,202.73,243.09,68.58,67.94,eia.gov,False,
2021-01-02 10:00:00,USA,Idaho Power Company,US-NW-IPCO,227.73,269.93,65.35,64.6,eia.gov,False,
2021-01-02 11:00:00,USA,Idaho Power Company,US-NW-IPCO,242.74,286.72,63.71,63.04,eia.gov,False,
2021-01-02 12:00:00,USA,Idaho Power Company,US-NW-IPCO,245.64,290.77,63.5,62.92,eia.gov,False,
2021-01-02 13:00:00,USA,Idaho Power Company,US-NW-IPCO,259.28,306.0,61.73,61.24,eia.gov,False,
2021-01-02 14:00:00,USA,Idaho Power Company,US-NW-IPCO,278.89,325.93,59.87,59.41,eia.gov,False,
2021-01-02 15:00:00,USA,Idaho Power Company,US-NW-IPCO,274.01,320.46,61.43,61.11,eia.gov,False,
2021-01-02 16:00:00,USA,Idaho Power Company,US-NW-IPCO,252.71,297.48,64.7,64.43,eia.gov,False,
2021-01-02 17:00:00,USA,Idaho Power Company,US-NW-IPCO,225.85,268.42,67.9,67.27,eia.gov,False,
2021-01-02 18:00:00,USA,Idaho Power Company,US-NW-IPCO,216.66,258.93,68.62,67.81,eia.gov,False,
2021-01-02 19:00:00,USA,Idaho Power Company,US-NW-IPCO,212.49,254.61,68.89,67.95,eia.gov,False,
2021-01-02 20:00:00,USA,Idaho Power Company,US-NW-IPCO,209.65,251.67,69.23,68.26,eia.gov,False,
2021-01-02 21:00:00,USA,Idaho Power Company,US-NW-IPCO,219.25,262.0,67.86,66.85,eia.gov,False,
2021-01-02 22:00:00,USA,Idaho Power Company,US-NW-IPCO,234.14,278.75,65.74,65.16,eia.gov,False,
2021-01-02 23:00:00,USA,Idaho Power Company,US-NW-IPCO,242.22,287.08,65.4,65.19,eia.gov,False,
2021-01-03 00:00:00,USA,Idaho Power Company,US-NW-IPCO,221.25,264.08,67.89,67.52,eia.gov,False,
2021-01-03 01:00:00,USA,Idaho Power Company,US-NW-IPCO,224.97,267.87,67.31,66.88,eia.gov,False,
2021-01-03 02:00:00,USA,Idaho Power Company,US-NW-IPCO,216.69,259.12,68.21,67.73,eia.gov,False,
2021-01-03 03:00:00,USA,Idaho Power Company,US-NW-IPCO,234.02,278.55,66.17,65.93,eia.gov,False,
2021-01-03 04:00:00,USA,Idaho Power Company,US-NW-IPCO,241.64,286.47,65.17,64.93,eia.gov,False,
2021-01-03 05:00:00,USA,Idaho Power Company,US-NW-IPCO,250.77,296.37,63.88,63.67,eia.gov,False,
2021-01-03 06:00:00,USA,Idaho Power Company,US-NW-IPCO,279.04,325.62,60.9,60.8,eia.gov,False,
2021-01-03 07:00:00,USA,Idaho Power Company,US-NW-IPCO,265.56,310.86,62.84,62.74,eia.gov,False,
2021-01-03 08:00:00,USA,Idaho Power Company,US-NW-IPCO,277.74,323.57,61.2,61.01,eia.gov,False,
2021-01-03 09:00:00,USA,Idaho Power Company,US-NW-IPCO,274.0,321.13,60.38,60.1,eia.gov,False,
2021-01-03 10:00:00,USA,Idaho Power Company,US-NW-IPCO,268.43,315.7,60.8,60.51,eia.gov,False,
2021-01-03 11:00:00,USA,Idaho Power Company,US-NW-IPCO,238.08,283.49,64.34,63.99,eia.gov,False,
2021-01-03 12:00:00,USA,Idaho Power Company,US-NW-IPCO,231.12,276.95,64.81,64.39,eia.gov,False,
2021-01-03 13:00:00,USA,Idaho Power Company,US-NW-IPCO,231.35,277.06,65.4,65.09,eia.gov,False,
2021-01-03 14:00:00,USA,Idaho Power Company,US-NW-IPCO,261.06,307.59,62.67,62.37,eia.gov,False,
2021-01-03 15:00:00,USA,Idaho Power Company,US-NW-IPCO,265.53,310.53,63.14,62.82,eia.gov,False,
2021-01-03 16:00:00,USA,Idaho Power Company,US-NW-IPCO,269.67,314.54,62.89,62.44,eia.gov,False,
2021-01-03 17:00:00,USA,Idaho Power Company,US-NW-IPCO,238.52,281.16,66.64,66.08,eia.gov,False,
2021-01-03 18:00:00,USA,Idaho Power Company,US-NW-IPCO,226.62,268.3,68.34,67.83,eia.gov,False,
2021-01-03 19:00:00,USA,Idaho Power Company,US-NW-IPCO,207.48,248.57,70.29,69.71,eia.gov,False,
2021-01-03 20:00:00,USA,Idaho Power Company,US-NW-IPCO,194.31,235.18,71.34,70.65,eia.gov,False,
2021-01-03 21:00:00,USA,Idaho Power Company,US-NW-IPCO,207.94,249.26,69.81,69.17,eia.gov,False,
2021-01-03 22:00:00,USA,Idaho Power Company,US-NW-IPCO,217.09,258.73,68.66,68.06,eia.gov,False,
2021-01-03 23:00:00,USA,Idaho Power Company,US-NW-IPCO,220.95,263.76,67.47,66.98,eia.gov,False,
2021-01-04 00:00:00,USA,Idaho Power Company,US-NW-IPCO,264.22,309.37,62.86,62.67,eia.gov,False,
2021-01-04 01:00:00,USA,Idaho Power Company,US-NW-IPCO,297.95,345.08,59.29,59.15,eia.gov,False,
2021-01-04 02:00:00,USA,Idaho Power Company,US-NW-IPCO,300.21,348.6,58.51,58.37,eia.gov,False,
2021-01-04 03:00:00,USA,Idaho Power Company,US-NW-IPCO,313.81,362.68,57.09,57.02,eia.gov,False,
2021-01-04 04:00:00,USA,Idaho Power Company,US-NW-IPCO,334.84,384.94,54.59,54.5,eia.gov,False,
2021-01-04 05:00:00,USA,Idaho Power Company,US-NW-IPCO,349.91,399.92,53.11,52.99,eia.gov,False,
2021-01-04 06:00:00,USA,Idaho Power Company,US-NW-IPCO,375.57,425.36,50.48,50.33,eia.gov,False,
2021-01-04 07:00:00,USA,Idaho Power Company,US-NW-IPCO,361.99,409.56,51.97,51.85,eia.gov,False,
2021-01-04 08:00:00,USA,Idaho Power Company,US-NW-IPCO,338.52,385.19,54.69,54.65,eia.gov,False,
2021-01-04 09:00:00,USA,Idaho Power Company,US-NW-IPCO,296.7,341.66,59.11,59.06,eia.gov,False,
2021-01-04 10:00:00,USA,Idaho Power Company,US-NW-IPCO,277.9,322.95,61.2,61.1,eia.gov,False,
2021-01-04 11:00:00,USA,Idaho Power Company,US-NW-IPCO,270.18,313.94,62.16,62.06,eia.gov,False,
2021-01-04 12:00:00,USA,Idaho Power Company,US-NW-IPCO,241.67,284.42,65.41,65.37,eia.gov,False,
2021-01-04 13:00:00,USA,Idaho Power Company,US-NW-IPCO,205.37,246.05,70.05,69.93,eia.gov,False,
2021-01-04 14:00:00,USA,Idaho Power Company,US-NW-IPCO,205.95,247.85,69.5,69.29,eia.gov,False,
2021-01-04 15:00:00,USA,Idaho Power Company,US-NW-IPCO,211.67,253.04,69.39,69.23,eia.gov,False,
2021-01-04 16:00:00,USA,Idaho Power Company,US-NW-IPCO,209.46,249.85,70.13,69.9,eia.gov,False,
2021-01-04 17:00:00,USA,Idaho Power Company,US-NW-IPCO,223.22,264.07,68.82,68.48,eia.gov,False,
2021-01-04 18:00:00,USA,Idaho Power Company,US-NW-IPCO,217.98,259.06,68.89,68.53,eia.gov,False,
2021-01-04 19:00:00,USA,Idaho Power Company,US-NW-IPCO,227.74,269.76,67.67,67.39,eia.gov,False,
2021-01-04 20:00:00,USA,Idaho Power Company,US-NW-IPCO,227.52,269.3,67.83,67.46,eia.gov,False,
2021-01-04 21:00:00,USA,Idaho Power Company,US-NW-IPCO,209.4,249.16,70.3,69.75,eia.gov,False,
2021-01-04 22:00:00,USA,Idaho Power Company,US-NW-IPCO,169.76,206.88,74.24,73.56,eia.gov,False,
2021-01-04 23:00:00,USA,Idaho Power Company,US-NW-IPCO,120.94,154.95,79.07,77.97,eia.gov,False,
2021-01-05 00:00:00,USA,Idaho Power Company,US-NW-IPCO,161.43,198.88,74.21,73.57,eia.gov,False,
2021-01-05 01:00:00,USA,Idaho Power Company,US-NW-IPCO,203.56,243.21,69.55,68.95,eia.gov,False,
2021-01-05 02:00:00,USA,Idaho Power Company,US-NW-IPCO,192.11,232.05,70.7,70.01,eia.gov,False,
2021-01-05 03:00:00,USA,Idaho Power Company,US-NW-IPCO,233.28,277.55,65.82,65.23,eia.gov,False,
2021-01-05 04:00:00,USA,Idaho Power Company,US-NW-IPCO,225.32,269.28,66.62,66.07,eia.gov,False,
2021-01-05 05:00:00,USA,Idaho Power Company,US-NW-IPCO,255.55,301.87,62.91,62.55,eia.gov,False,
2021-01-05 06:00:00,USA,Idaho Power Company,US-NW-IPCO,251.2,295.95,63.64,63.35,eia.gov,False,
2021-01-05 07:00:00,USA,Idaho Power Company,US-NW-IPCO,235.64,279.08,65.46,65.12,eia.gov,False,
2021-01-05 08:00:00,USA,Idaho Power Company,US-NW-IPCO,220.95,263.29,67.29,66.92,eia.gov,False,
2021-01-05 09:00:00,USA,Idaho Power Company,US-NW-IPCO,216.7,258.68,67.95,67.59,eia.gov,False,
2021-01-05 10:00:00,USA,Idaho Power Company,US-NW-IPCO,220.05,262.3,67.55,67.21,eia.gov,False,
2021-01-05 11:00:00,USA,Idaho Power Company,US-NW-IPCO,235.22,277.52,66.15,65.85,eia.gov,False,
2021-01-05 12:00:00,USA,Idaho Power Company,US-NW-IPCO,241.65,284.27,65.92,65.69,eia.gov,False,
2021-01-05 13:00:00,USA,Idaho Power Company,US-NW-IPCO,255.23,298.56,64.72,64.49,eia.gov,False,
2021-01-05 14:00:00,USA,Idaho Power Company,US-NW-IPCO,280.56,325.11,62.29,62.09,eia.gov,False,
2021-01-05 15:00:00,USA,Idaho Power Company,US-NW-IPCO,290.38,334.58,61.57,61.39,eia.gov,False,
2021-01-05 16:00:00,USA,Idaho Power Company,US-NW-IPCO,264.91,307.91,64.54,64.3,eia.gov,False,
2021-01-05 17:00:00,USA,Idaho Power Company,US-NW-IPCO,255.03,298.0,65.56,65.13,eia.gov,False,
2021-01-05 18:00:00,USA,Idaho Power Company,US-NW-IPCO,235.79,277.52,67.77,66.96,eia.gov,False,
2021-01-05 19:00:00,USA,Idaho Power Company,US-NW-IPCO,222.78,264.07,68.73,67.8,eia.gov,False,
2021-01-05 20:00:00,USA,Idaho Power Company,US-NW-IPCO,228.66,269.5,68.22,67.21,eia.gov,False,
2021-01-05 21:00:00,USA,Idaho Power Company,US-NW-IPCO,226.86,268.57,67.91,66.87,eia.gov,False,
2021-01-05 22:00:00,USA,Idaho Power Company,US-NW-IPCO,251.2,297.23,63.34,62.44,eia.gov,False,
2021-01-05 23:00:00,USA,Idaho Power Company,US-NW-IPCO,288.61,337.02,58.66,58.21,eia.gov,False,
2021-01-06 00:00:00,USA,Idaho Power Company,US-NW-IPCO,292.56,340.59,58.81,58.39,eia.gov,False,
2021-01-06 01:00:00,USA,Idaho Power Company,US-NW-IPCO,302.91,350.71,58.28,58.0,eia.gov,False,
2021-01-06 02:00:00,USA,Idaho Power Company,US-NW-IPCO,300.59,347.93,58.53,58.28,eia.gov,False,
2021-01-06 03:00:00,USA,Idaho Power Company,US-NW-IPCO,302.47,350.0,58.3,58.08,eia.gov,False,
2021-01-06 04:00:00,USA,Idaho Power Company,US-NW-IPCO,311.6,359.14,57.2,57.04,eia.gov,False,
2021-01-06 05:00:00,USA,Idaho Power Company,US-NW-IPCO,345.55,394.56,53.41,53.25,eia.gov,False,
2021-01-06 06:00:00,USA,Idaho Power Company,US-NW-IPCO,356.65,405.62,52.64,52.49,eia.gov,False,
2021-01-06 07:00:00,USA,Idaho Power Company,US-NW-IPCO,338.17,385.56,54.78,54.63,eia.gov,False,
2021-01-06 08:00:00,USA,Idaho Power Company,US-NW-IPCO,322.72,370.01,55.98,55.74,eia.gov,False,
2021-01-06 09:00:00,USA,Idaho Power Company,US-NW-IPCO,319.81,366.97,56.39,56.18,eia.gov,False,
2021-01-06 10:00:00,USA,Idaho Power Company,US-NW-IPCO,295.79,341.88,59.01,58.77,eia.gov,False,
2021-01-06 11:00:00,USA,Idaho Power Company,US-NW-IPCO,291.33,337.26,59.58,59.33,eia.gov,False,
