Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Uruguay,Uruguay,UY,202.22,301.07,49.46,46.25,pronos.adme.com.uy,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 01:00:00,Uruguay,Uruguay,UY,190.59,283.68,52.46,49.42,pronos.adme.com.uy,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 02:00:00,Uruguay,Uruguay,UY,155.08,236.79,60.95,57.83,pronos.adme.com.uy,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 03:00:00,Uruguay,Uruguay,UY,128.16,199.31,72.91,71.45,pronos.adme.com.uy,False,
2021-01-01 04:00:00,Uruguay,Uruguay,UY,33.3,83.74,91.55,90.73,pronos.adme.com.uy,False,
2021-01-01 05:00:00,Uruguay,Uruguay,UY,2.2,42.3,99.44,99.39,pronos.adme.com.uy,False,
2021-01-01 06:00:00,Uruguay,Uruguay,UY,0.0,34.16,100.0,100.0,pronos.adme.com.uy,False,
2021-01-01 07:00:00,Uruguay,Uruguay,UY,0.0,31.1,100.0,100.0,pronos.adme.com.uy,False,
2021-01-01 08:00:00,Uruguay,Uruguay,UY,0.0,32.96,100.0,100.0,pronos.adme.com.uy,False,
2021-01-01 09:00:00,Uruguay,Uruguay,UY,0.0,41.09,100.0,100.0,pronos.adme.com.uy,False,
2021-01-01 10:00:00,Uruguay,Uruguay,UY,0.0,47.12,100.0,100.0,pronos.adme.com.uy,False,
2021-01-01 11:00:00,Uruguay,Uruguay,UY,0.0,47.25,100.0,100.0,pronos.adme.com.uy,False,
2021-01-01 12:00:00,Uruguay,Uruguay,UY,0.0,42.61,100.0,100.0,pronos.adme.com.uy,False,
2021-01-01 13:00:00,Uruguay,Uruguay,UY,0.0,40.08,100.0,100.0,pronos.adme.com.uy,False,
2021-01-01 14:00:00,Uruguay,Uruguay,UY,0.0,38.64,100.0,100.0,pronos.adme.com.uy,False,
2021-01-01 15:00:00,Uruguay,Uruguay,UY,0.0,41.09,100.0,100.0,pronos.adme.com.uy,False,
2021-01-01 16:00:00,Uruguay,Uruguay,UY,0.69,43.93,99.83,99.81,pronos.adme.com.uy,False,
2021-01-01 17:00:00,Uruguay,Uruguay,UY,21.02,71.3,94.68,94.19,pronos.adme.com.uy,False,
2021-01-01 18:00:00,Uruguay,Uruguay,UY,40.52,95.98,89.72,88.83,pronos.adme.com.uy,False,
2021-01-01 19:00:00,Uruguay,Uruguay,UY,64.44,126.3,83.6,82.18,pronos.adme.com.uy,False,
2021-01-01 20:00:00,Uruguay,Uruguay,UY,96.5,168.03,75.37,73.24,pronos.adme.com.uy,False,
2021-01-01 21:00:00,Uruguay,Uruguay,UY,107.98,182.03,72.37,69.97,pronos.adme.com.uy,False,
2021-01-01 22:00:00,Uruguay,Uruguay,UY,108.48,180.79,72.28,69.84,pronos.adme.com.uy,False,
2021-01-01 23:00:00,Uruguay,Uruguay,UY,109.01,180.01,72.13,69.66,pronos.adme.com.uy,False,
2021-01-02 00:00:00,Uruguay,Uruguay,UY,106.41,172.52,73.1,70.7,pronos.adme.com.uy,False,
2021-01-02 01:00:00,Uruguay,Uruguay,UY,85.18,145.32,78.23,76.12,pronos.adme.com.uy,False,
2021-01-02 02:00:00,Uruguay,Uruguay,UY,98.55,161.82,75.01,72.75,pronos.adme.com.uy,False,
2021-01-02 03:00:00,Uruguay,Uruguay,UY,100.63,161.59,78.93,77.7,pronos.adme.com.uy,False,
