Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Australia,Victoria,AU-VIC,541.72,593.48,27.67,27.67,opennem.org.au,False,
2021-01-01 01:00:00,Australia,Victoria,AU-VIC,531.14,582.92,29.06,29.06,opennem.org.au,False,
2021-01-01 02:00:00,Australia,Victoria,AU-VIC,521.47,572.18,30.36,30.36,opennem.org.au,False,
2021-01-01 03:00:00,Australia,Victoria,AU-VIC,544.95,596.14,27.32,27.32,opennem.org.au,False,
2021-01-01 04:00:00,Australia,Victoria,AU-VIC,560.01,611.57,25.37,25.37,opennem.org.au,False,
2021-01-01 05:00:00,Australia,Victoria,AU-VIC,530.37,578.83,30.07,30.07,opennem.org.au,False,
2021-01-01 06:00:00,Australia,Victoria,AU-VIC,489.96,535.65,35.63,35.63,opennem.org.au,False,
2021-01-01 07:00:00,Australia,Victoria,AU-VIC,477.83,522.07,37.13,37.13,opennem.org.au,False,
2021-01-01 08:00:00,Australia,Victoria,AU-VIC,492.62,537.47,35.24,35.24,opennem.org.au,False,
2021-01-01 09:00:00,Australia,Victoria,AU-VIC,516.89,562.98,32.03,32.03,opennem.org.au,False,
2021-01-01 10:00:00,Australia,Victoria,AU-VIC,520.52,566.3,31.62,31.62,opennem.org.au,False,
2021-01-01 11:00:00,Australia,Victoria,AU-VIC,575.07,624.34,24.44,24.44,opennem.org.au,False,
2021-01-01 12:00:00,Australia,Victoria,AU-VIC,608.57,659.71,19.95,19.95,opennem.org.au,False,
2021-01-01 13:00:00,Australia,Victoria,AU-VIC,602.47,653.44,20.73,20.73,opennem.org.au,False,
2021-01-01 14:00:00,Australia,Victoria,AU-VIC,615.74,667.99,18.53,18.53,opennem.org.au,False,
2021-01-01 15:00:00,Australia,Victoria,AU-VIC,609.03,661.23,18.82,18.82,opennem.org.au,False,
2021-01-01 16:00:00,Australia,Victoria,AU-VIC,607.92,659.87,18.97,18.97,opennem.org.au,False,
2021-01-01 17:00:00,Australia,Victoria,AU-VIC,609.64,661.67,18.74,18.74,opennem.org.au,False,
2021-01-01 18:00:00,Australia,Victoria,AU-VIC,602.62,654.18,19.68,19.68,opennem.org.au,False,
2021-01-01 19:00:00,Australia,Victoria,AU-VIC,596.94,648.28,20.47,20.47,opennem.org.au,False,
2021-01-01 20:00:00,Australia,Victoria,AU-VIC,595.29,646.94,20.72,20.72,opennem.org.au,False,
2021-01-01 21:00:00,Australia,Victoria,AU-VIC,592.81,643.74,21.96,21.96,opennem.org.au,False,
2021-01-01 22:00:00,Australia,Victoria,AU-VIC,589.28,640.08,22.53,22.53,opennem.org.au,False,
2021-01-01 23:00:00,Australia,Victoria,AU-VIC,609.58,661.86,19.83,19.83,opennem.org.au,False,
2021-01-02 00:00:00,Australia,Victoria,AU-VIC,621.38,674.68,18.25,18.25,opennem.org.au,False,
2021-01-02 01:00:00,Australia,Victoria,AU-VIC,641.23,695.72,15.64,15.64,opennem.org.au,False,
2021-01-02 02:00:00,Australia,Victoria,AU-VIC,623.67,677.33,17.94,17.94,opennem.org.au,False,
2021-01-02 03:00:00,Australia,Victoria,AU-VIC,603.64,656.18,20.6,20.6,opennem.org.au,False,
2021-01-02 04:00:00,Australia,Victoria,AU-VIC,591.84,644.16,22.14,22.14,opennem.org.au,False,
2021-01-02 05:00:00,Australia,Victoria,AU-VIC,577.78,629.26,24.05,24.05,opennem.org.au,False,
2021-01-02 06:00:00,Australia,Victoria,AU-VIC,549.03,598.01,27.9,27.9,opennem.org.au,False,
2021-01-02 07:00:00,Australia,Victoria,AU-VIC,551.63,600.91,27.43,27.43,opennem.org.au,False,
2021-01-02 08:00:00,Australia,Victoria,AU-VIC,529.64,577.05,30.38,30.38,opennem.org.au,False,
2021-01-02 09:00:00,Australia,Victoria,AU-VIC,494.97,539.36,34.95,34.95,opennem.org.au,False,
2021-01-02 10:00:00,Australia,Victoria,AU-VIC,535.43,581.76,29.63,29.63,opennem.org.au,False,
2021-01-02 11:00:00,Australia,Victoria,AU-VIC,551.23,598.46,27.55,27.55,opennem.org.au,False,
2021-01-02 12:00:00,Australia,Victoria,AU-VIC,572.86,621.35,24.66,24.66,opennem.org.au,False,
2021-01-02 13:00:00,Australia,Victoria,AU-VIC,575.49,624.41,24.28,24.28,opennem.org.au,False,
2021-01-02 14:00:00,Australia,Victoria,AU-VIC,608.8,660.0,19.89,19.89,opennem.org.au,False,
2021-01-02 15:00:00,Australia,Victoria,AU-VIC,662.17,717.55,12.16,12.16,opennem.org.au,False,
2021-01-02 16:00:00,Australia,Victoria,AU-VIC,671.86,728.27,10.52,10.52,opennem.org.au,False,
2021-01-02 17:00:00,Australia,Victoria,AU-VIC,657.12,712.41,12.49,12.49,opennem.org.au,False,
2021-01-02 18:00:00,Australia,Victoria,AU-VIC,652.3,707.34,13.13,13.13,opennem.org.au,False,
2021-01-02 19:00:00,Australia,Victoria,AU-VIC,656.46,711.9,12.6,12.6,opennem.org.au,False,
2021-01-02 20:00:00,Australia,Victoria,AU-VIC,660.61,716.94,12.07,12.07,opennem.org.au,False,
2021-01-02 21:00:00,Australia,Victoria,AU-VIC,642.91,698.35,14.73,14.73,opennem.org.au,False,
2021-01-02 22:00:00,Australia,Victoria,AU-VIC,633.29,687.45,16.8,16.8,opennem.org.au,False,
2021-01-02 23:00:00,Australia,Victoria,AU-VIC,628.59,683.12,17.29,17.29,opennem.org.au,False,
2021-01-03 00:00:00,Australia,Victoria,AU-VIC,630.73,685.91,17.01,17.01,opennem.org.au,False,
2021-01-03 01:00:00,Australia,Victoria,AU-VIC,608.84,663.32,19.89,19.89,opennem.org.au,False,
2021-01-03 02:00:00,Australia,Victoria,AU-VIC,596.7,650.14,21.49,21.49,opennem.org.au,False,
2021-01-03 03:00:00,Australia,Victoria,AU-VIC,550.08,600.29,27.64,27.64,opennem.org.au,False,
2021-01-03 04:00:00,Australia,Victoria,AU-VIC,518.7,566.53,31.75,31.75,opennem.org.au,False,
2021-01-03 05:00:00,Australia,Victoria,AU-VIC,491.68,537.31,35.31,35.31,opennem.org.au,False,
2021-01-03 06:00:00,Australia,Victoria,AU-VIC,490.25,535.08,35.55,35.55,opennem.org.au,False,
2021-01-03 07:00:00,Australia,Victoria,AU-VIC,509.38,555.02,33.1,33.1,opennem.org.au,False,
2021-01-03 08:00:00,Australia,Victoria,AU-VIC,501.5,546.11,34.12,34.12,opennem.org.au,False,
2021-01-03 09:00:00,Australia,Victoria,AU-VIC,511.08,555.65,32.83,32.83,opennem.org.au,False,
2021-01-03 10:00:00,Australia,Victoria,AU-VIC,517.2,562.11,32.05,32.05,opennem.org.au,False,
2021-01-03 11:00:00,Australia,Victoria,AU-VIC,544.19,590.63,28.44,28.44,opennem.org.au,False,
2021-01-03 12:00:00,Australia,Victoria,AU-VIC,572.3,620.33,24.7,24.7,opennem.org.au,False,
2021-01-03 13:00:00,Australia,Victoria,AU-VIC,572.09,620.1,24.72,24.72,opennem.org.au,False,
2021-01-03 14:00:00,Australia,Victoria,AU-VIC,563.21,610.6,25.89,25.89,opennem.org.au,False,
