Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Australia,Western Australia,AU-WA,321.38,391.69,42.74,42.74,opennem.org.au,False,
2021-01-01 01:00:00,Australia,Western Australia,AU-WA,311.99,379.46,46.68,46.68,opennem.org.au,False,
2021-01-01 02:00:00,Australia,Western Australia,AU-WA,287.46,352.92,50.62,50.62,opennem.org.au,False,
2021-01-01 03:00:00,Australia,Western Australia,AU-WA,278.92,342.45,52.39,52.39,opennem.org.au,False,
2021-01-01 04:00:00,Australia,Western Australia,AU-WA,293.42,356.3,50.77,50.77,opennem.org.au,False,
2021-01-01 05:00:00,Australia,Western Australia,AU-WA,330.42,392.99,46.29,46.29,opennem.org.au,False,
2021-01-01 06:00:00,Australia,Western Australia,AU-WA,325.59,388.03,46.11,46.11,opennem.org.au,False,
2021-01-01 07:00:00,Australia,Western Australia,AU-WA,318.16,380.11,46.74,46.74,opennem.org.au,False,
2021-01-01 08:00:00,Australia,Western Australia,AU-WA,338.9,401.72,42.65,42.65,opennem.org.au,False,
2021-01-01 09:00:00,Australia,Western Australia,AU-WA,367.65,435.28,35.38,35.38,opennem.org.au,False,
2021-01-01 10:00:00,Australia,Western Australia,AU-WA,415.93,491.03,24.44,24.44,opennem.org.au,False,
2021-01-01 11:00:00,Australia,Western Australia,AU-WA,448.74,526.65,18.7,18.7,opennem.org.au,False,
2021-01-01 12:00:00,Australia,Western Australia,AU-WA,454.14,528.31,20.27,20.27,opennem.org.au,False,
2021-01-01 13:00:00,Australia,Western Australia,AU-WA,452.93,521.95,23.53,23.53,opennem.org.au,False,
2021-01-01 14:00:00,Australia,Western Australia,AU-WA,419.09,484.23,29.04,29.04,opennem.org.au,False,
2021-01-01 15:00:00,Australia,Western Australia,AU-WA,375.27,436.41,35.57,35.57,opennem.org.au,False,
2021-01-01 16:00:00,Australia,Western Australia,AU-WA,346.77,406.74,38.96,38.96,opennem.org.au,False,
2021-01-01 17:00:00,Australia,Western Australia,AU-WA,328.18,388.46,40.51,40.51,opennem.org.au,False,
2021-01-01 18:00:00,Australia,Western Australia,AU-WA,321.36,380.41,41.92,41.92,opennem.org.au,False,
2021-01-01 19:00:00,Australia,Western Australia,AU-WA,320.69,379.98,41.84,41.84,opennem.org.au,False,
