Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,South Africa,South Africa,ZA,645.84,693.72,23.1,15.01,eskom.co.za,False,
2021-01-01 01:00:00,South Africa,South Africa,ZA,649.64,697.31,23.32,15.26,eskom.co.za,False,
2021-01-01 02:00:00,South Africa,South Africa,ZA,648.19,695.91,23.3,15.2,eskom.co.za,False,
2021-01-01 03:00:00,South Africa,South Africa,ZA,643.94,691.01,24.64,16.66,eskom.co.za,False,
2021-01-01 04:00:00,South Africa,South Africa,ZA,631.04,677.35,26.89,19.1,eskom.co.za,False,
2021-01-01 05:00:00,South Africa,South Africa,ZA,620.25,667.45,26.67,18.98,eskom.co.za,False,
2021-01-01 06:00:00,South Africa,South Africa,ZA,603.05,651.99,25.35,17.55,eskom.co.za,False,
2021-01-01 07:00:00,South Africa,South Africa,ZA,597.97,649.88,21.48,13.32,eskom.co.za,False,
2021-01-01 08:00:00,South Africa,South Africa,ZA,598.43,650.75,21.3,13.04,eskom.co.za,False,
2021-01-01 09:00:00,South Africa,South Africa,ZA,598.03,650.31,21.35,13.04,eskom.co.za,False,
2021-01-01 10:00:00,South Africa,South Africa,ZA,595.82,648.17,21.65,13.33,eskom.co.za,False,
2021-01-01 11:00:00,South Africa,South Africa,ZA,597.88,650.39,21.38,13.03,eskom.co.za,False,
2021-01-01 12:00:00,South Africa,South Africa,ZA,599.17,651.67,21.21,12.84,eskom.co.za,False,
2021-01-01 13:00:00,South Africa,South Africa,ZA,596.65,648.84,21.54,13.08,eskom.co.za,False,
2021-01-01 14:00:00,South Africa,South Africa,ZA,599.69,651.83,21.14,12.67,eskom.co.za,False,
2021-01-01 15:00:00,South Africa,South Africa,ZA,607.67,659.66,20.09,11.62,eskom.co.za,False,
2021-01-01 16:00:00,South Africa,South Africa,ZA,609.37,660.86,19.87,11.38,eskom.co.za,False,
2021-01-01 17:00:00,South Africa,South Africa,ZA,606.62,657.66,20.23,11.78,eskom.co.za,False,
2021-01-01 18:00:00,South Africa,South Africa,ZA,610.75,661.92,19.69,11.17,eskom.co.za,False,
2021-01-01 19:00:00,South Africa,South Africa,ZA,620.63,670.76,20.82,12.46,eskom.co.za,False,
2021-01-01 20:00:00,South Africa,South Africa,ZA,636.37,685.02,22.33,14.11,eskom.co.za,False,
2021-01-01 21:00:00,South Africa,South Africa,ZA,640.25,687.55,24.36,16.24,eskom.co.za,False,
2021-01-01 22:00:00,South Africa,South Africa,ZA,642.17,688.59,25.59,17.52,eskom.co.za,False,
2021-01-01 23:00:00,South Africa,South Africa,ZA,644.52,690.91,25.57,17.39,eskom.co.za,False,
2021-01-02 00:00:00,South Africa,South Africa,ZA,645.02,691.41,25.57,17.3,eskom.co.za,False,
2021-01-02 01:00:00,South Africa,South Africa,ZA,645.7,692.17,25.41,17.15,eskom.co.za,False,
2021-01-02 02:00:00,South Africa,South Africa,ZA,646.28,692.83,25.26,17.08,eskom.co.za,False,
2021-01-02 03:00:00,South Africa,South Africa,ZA,647.94,694.94,24.5,16.33,eskom.co.za,False,
2021-01-02 04:00:00,South Africa,South Africa,ZA,635.06,683.74,22.71,14.09,eskom.co.za,False,
2021-01-02 05:00:00,South Africa,South Africa,ZA,609.05,659.1,22.92,14.19,eskom.co.za,False,
2021-01-02 06:00:00,South Africa,South Africa,ZA,592.9,644.42,22.03,13.25,eskom.co.za,False,
2021-01-02 07:00:00,South Africa,South Africa,ZA,599.24,651.19,21.2,12.52,eskom.co.za,False,
2021-01-02 08:00:00,South Africa,South Africa,ZA,604.8,657.04,20.47,11.92,eskom.co.za,False,
2021-01-02 09:00:00,South Africa,South Africa,ZA,604.05,656.42,20.57,12.1,eskom.co.za,False,
2021-01-02 10:00:00,South Africa,South Africa,ZA,607.9,660.43,20.06,11.58,eskom.co.za,False,
2021-01-02 11:00:00,South Africa,South Africa,ZA,614.24,666.97,19.23,10.76,eskom.co.za,False,
2021-01-02 12:00:00,South Africa,South Africa,ZA,622.29,675.18,18.17,9.76,eskom.co.za,False,
2021-01-02 13:00:00,South Africa,South Africa,ZA,621.34,673.88,18.29,9.71,eskom.co.za,False,
2021-01-02 14:00:00,South Africa,South Africa,ZA,624.85,677.33,17.83,9.45,eskom.co.za,False,
2021-01-02 15:00:00,South Africa,South Africa,ZA,630.27,682.74,17.12,8.99,eskom.co.za,False,
2021-01-02 16:00:00,South Africa,South Africa,ZA,625.33,677.26,17.76,9.79,eskom.co.za,False,
2021-01-02 17:00:00,South Africa,South Africa,ZA,614.42,665.62,19.2,11.49,eskom.co.za,False,
2021-01-02 18:00:00,South Africa,South Africa,ZA,628.8,680.71,17.31,9.48,eskom.co.za,False,
2021-01-02 19:00:00,South Africa,South Africa,ZA,647.31,698.03,18.41,10.63,eskom.co.za,False,
2021-01-02 20:00:00,South Africa,South Africa,ZA,653.0,701.92,21.19,13.37,eskom.co.za,False,
2021-01-02 21:00:00,South Africa,South Africa,ZA,661.34,709.71,21.87,13.95,eskom.co.za,False,
2021-01-02 22:00:00,South Africa,South Africa,ZA,667.6,716.31,21.18,12.94,eskom.co.za,False,
2021-01-02 23:00:00,South Africa,South Africa,ZA,671.78,720.64,20.83,12.44,eskom.co.za,False,
2021-01-03 00:00:00,South Africa,South Africa,ZA,669.3,717.45,22.05,13.77,eskom.co.za,False,
2021-01-03 01:00:00,South Africa,South Africa,ZA,663.52,711.14,23.05,14.84,eskom.co.za,False,
2021-01-03 02:00:00,South Africa,South Africa,ZA,656.11,703.49,23.64,15.43,eskom.co.za,False,
2021-01-03 03:00:00,South Africa,South Africa,ZA,652.29,700.02,23.25,14.94,eskom.co.za,False,
2021-01-03 04:00:00,South Africa,South Africa,ZA,647.22,696.55,21.06,12.57,eskom.co.za,False,
2021-01-03 05:00:00,South Africa,South Africa,ZA,631.45,683.67,17.45,8.55,eskom.co.za,False,
2021-01-03 06:00:00,South Africa,South Africa,ZA,621.3,673.52,18.3,9.55,eskom.co.za,False,
2021-01-03 07:00:00,South Africa,South Africa,ZA,621.83,674.31,18.23,9.85,eskom.co.za,False,
2021-01-03 08:00:00,South Africa,South Africa,ZA,621.79,674.49,18.23,9.89,eskom.co.za,False,
2021-01-03 09:00:00,South Africa,South Africa,ZA,623.68,676.61,17.98,9.52,eskom.co.za,False,
2021-01-03 10:00:00,South Africa,South Africa,ZA,624.47,677.55,17.88,9.5,eskom.co.za,False,
2021-01-03 11:00:00,South Africa,South Africa,ZA,627.18,680.28,17.52,9.27,eskom.co.za,False,
2021-01-03 12:00:00,South Africa,South Africa,ZA,625.69,678.51,17.72,9.34,eskom.co.za,False,
2021-01-03 13:00:00,South Africa,South Africa,ZA,632.0,684.95,16.89,8.45,eskom.co.za,False,
2021-01-03 14:00:00,South Africa,South Africa,ZA,633.47,686.3,16.69,8.4,eskom.co.za,False,
2021-01-03 15:00:00,South Africa,South Africa,ZA,642.86,695.97,15.46,7.07,eskom.co.za,False,
2021-01-03 16:00:00,South Africa,South Africa,ZA,658.7,712.61,13.38,5.92,eskom.co.za,False,
2021-01-03 17:00:00,South Africa,South Africa,ZA,686.16,741.78,9.76,5.76,eskom.co.za,False,
2021-01-03 18:00:00,South Africa,South Africa,ZA,695.64,751.79,8.52,4.5,eskom.co.za,False,
2021-01-03 19:00:00,South Africa,South Africa,ZA,707.41,764.14,6.97,2.89,eskom.co.za,False,
2021-01-03 20:00:00,South Africa,South Africa,ZA,709.4,763.32,11.47,7.58,eskom.co.za,False,
2021-01-03 21:00:00,South Africa,South Africa,ZA,708.09,759.3,15.94,12.23,eskom.co.za,False,
2021-01-03 22:00:00,South Africa,South Africa,ZA,706.05,756.65,17.01,13.23,eskom.co.za,False,
2021-01-03 23:00:00,South Africa,South Africa,ZA,704.84,755.32,17.25,13.39,eskom.co.za,False,
2021-01-04 00:00:00,South Africa,South Africa,ZA,707.28,757.87,16.99,13.14,eskom.co.za,False,
2021-01-04 01:00:00,South Africa,South Africa,ZA,708.6,759.32,16.74,12.9,eskom.co.za,False,
2021-01-04 02:00:00,South Africa,South Africa,ZA,712.67,763.8,15.96,12.23,eskom.co.za,False,
2021-01-04 03:00:00,South Africa,South Africa,ZA,714.44,765.94,15.3,11.73,eskom.co.za,False,
2021-01-04 04:00:00,South Africa,South Africa,ZA,705.48,757.57,15.01,11.46,eskom.co.za,False,
2021-01-04 05:00:00,South Africa,South Africa,ZA,696.91,750.9,12.69,9.06,eskom.co.za,False,
2021-01-04 06:00:00,South Africa,South Africa,ZA,694.17,750.86,8.71,4.89,eskom.co.za,False,
2021-01-04 07:00:00,South Africa,South Africa,ZA,700.72,757.82,7.84,4.04,eskom.co.za,False,
2021-01-04 08:00:00,South Africa,South Africa,ZA,697.56,754.62,8.26,4.48,eskom.co.za,False,
2021-01-04 09:00:00,South Africa,South Africa,ZA,691.6,748.49,9.05,5.31,eskom.co.za,False,
2021-01-04 10:00:00,South Africa,South Africa,ZA,689.5,746.22,9.32,5.59,eskom.co.za,False,
2021-01-04 11:00:00,South Africa,South Africa,ZA,691.14,748.98,8.84,5.09,eskom.co.za,False,
2021-01-04 12:00:00,South Africa,South Africa,ZA,684.08,742.49,9.52,5.82,eskom.co.za,False,
2021-01-04 13:00:00,South Africa,South Africa,ZA,680.65,741.15,9.42,5.76,eskom.co.za,False,
2021-01-04 14:00:00,South Africa,South Africa,ZA,680.61,742.58,9.06,5.44,eskom.co.za,False,
2021-01-04 15:00:00,South Africa,South Africa,ZA,679.9,743.15,8.8,5.22,eskom.co.za,False,
2021-01-04 16:00:00,South Africa,South Africa,ZA,677.59,739.59,9.32,5.68,eskom.co.za,False,
2021-01-04 17:00:00,South Africa,South Africa,ZA,671.37,733.68,9.99,6.41,eskom.co.za,False,
2021-01-04 18:00:00,South Africa,South Africa,ZA,686.5,750.31,7.83,4.12,eskom.co.za,False,
2021-01-04 19:00:00,South Africa,South Africa,ZA,695.76,759.74,6.66,2.85,eskom.co.za,False,
2021-01-04 20:00:00,South Africa,South Africa,ZA,699.44,757.54,10.87,7.15,eskom.co.za,False,
2021-01-04 21:00:00,South Africa,South Africa,ZA,704.71,757.4,13.86,10.2,eskom.co.za,False,
2021-01-04 22:00:00,South Africa,South Africa,ZA,705.23,756.88,15.28,11.62,eskom.co.za,False,
2021-01-04 23:00:00,South Africa,South Africa,ZA,708.54,759.94,15.61,11.94,eskom.co.za,False,
