,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
0,348.0,5576.0,44.0,203.0,374.0,5920.0,2359.0,49462.0,0.0,216.0,2810.0,202001010000,202001010100,11679.0,2810.0,55633.0,67312.0,17,4
1,347.0,4257.0,44.0,203.0,,5793.0,1765.0,49565.0,0.0,216.0,2655.0,202001010100,202001010200,10429.0,2655.0,54416.0,64845.0,16,4
2,348.0,2874.0,44.0,201.0,,5559.0,1296.0,49580.0,0.0,217.0,2736.0,202001010200,202001010300,9808.0,2736.0,53047.0,62855.0,16,4
3,348.0,2823.0,44.0,200.0,,5400.0,960.0,49271.0,0.0,217.0,2631.0,202001010300,202001010400,9208.0,2631.0,52686.0,61894.0,15,4
4,347.0,2834.0,44.0,200.0,,5347.0,940.0,49438.0,0.0,218.0,2533.0,202001010400,202001010500,9038.0,2533.0,52863.0,61901.0,15,4
5,348.0,2841.0,44.0,200.0,,5224.0,986.0,49542.0,0.0,217.0,2341.0,202001010500,202001010600,8768.0,2341.0,52975.0,61743.0,14,4
6,348.0,2994.0,42.0,200.0,,5226.0,985.0,49289.0,0.0,218.0,2185.0,202001010600,202001010700,8614.0,2185.0,52873.0,61487.0,14,4
7,349.0,3061.0,42.0,200.0,,5345.0,935.0,48860.0,175.0,217.0,1917.0,202001010700,202001010800,8589.0,2092.0,52512.0,61101.0,14,3
8,349.0,3345.0,42.0,200.0,,5444.0,784.0,48797.0,640.0,217.0,1694.0,202001010800,202001010900,8779.0,2334.0,52733.0,61512.0,14,4
9,349.0,3446.0,44.0,203.0,,5446.0,1036.0,48703.0,1464.0,216.0,1623.0,202001010900,202001011000,9785.0,3087.0,52745.0,62530.0,16,5
10,348.0,3547.0,44.0,204.0,,5367.0,1095.0,48751.0,2100.0,218.0,1578.0,202001011000,202001011100,10358.0,3678.0,52894.0,63252.0,16,6
11,349.0,3593.0,45.0,204.0,,5399.0,1464.0,49217.0,2426.0,217.0,1356.0,202001011100,202001011200,10862.0,3782.0,53408.0,64270.0,17,6
12,348.0,3573.0,44.0,204.0,,5444.0,1743.0,49196.0,2354.0,215.0,1098.0,202001011200,202001011300,10854.0,3452.0,53365.0,64219.0,17,5
13,347.0,3708.0,45.0,204.0,,5389.0,1499.0,48992.0,1875.0,215.0,997.0,202001011300,202001011400,9975.0,2872.0,53296.0,63271.0,16,5
14,348.0,4236.0,44.0,204.0,,5479.0,1964.0,49061.0,1038.0,215.0,1006.0,202001011400,202001011500,9702.0,2044.0,53893.0,63595.0,15,3
15,348.0,5150.0,44.0,204.0,377.0,5896.0,3032.0,49333.0,330.0,215.0,1050.0,202001011500,202001011600,10900.0,1380.0,55079.0,65979.0,17,2
16,348.0,6041.0,44.0,204.0,851.0,6176.0,3314.0,49727.0,131.0,213.0,1089.0,202001011600,202001011700,11774.0,1220.0,56364.0,68138.0,17,2
17,345.0,6803.0,44.0,204.0,1312.0,6413.0,3483.0,50117.0,0.0,214.0,1199.0,202001011700,202001011800,12621.0,1199.0,57513.0,70134.0,18,2
18,345.0,7192.0,44.0,204.0,1168.0,6591.0,3206.0,50313.0,0.0,213.0,1288.0,202001011800,202001011900,12466.0,1288.0,58098.0,70564.0,18,2
19,345.0,7184.0,44.0,204.0,953.0,6486.0,2565.0,49956.0,0.0,213.0,1339.0,202001011900,202001012000,11556.0,1339.0,57733.0,69289.0,17,2
20,345.0,6987.0,44.0,203.0,951.0,6153.0,2092.0,50259.0,0.0,213.0,1318.0,202001012000,202001012100,10727.0,1318.0,57838.0,68565.0,16,2
21,344.0,6760.0,44.0,203.0,974.0,6026.0,2067.0,50052.0,0.0,212.0,1249.0,202001012100,202001012200,10528.0,1249.0,57403.0,67931.0,15,2
22,342.0,6138.0,44.0,203.0,151.0,5797.0,1785.0,49707.0,0.0,211.0,1250.0,202001012200,202001012300,9194.0,1250.0,56434.0,65628.0,14,2
23,340.0,5646.0,44.0,203.0,,5376.0,972.0,49707.0,0.0,213.0,1317.0,202001012300,202001020000,7878.0,1317.0,55940.0,63818.0,12,2
24,341.0,5305.0,44.0,203.0,,5154.0,731.0,49501.0,0.0,214.0,1417.0,202001020000,202001020100,7516.0,1417.0,55394.0,62910.0,12,2
