,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Water Reservoir,Solar,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
0,1110.0,1455.0,0.0,0.0,476.0,0.0,311.0,202001010000,202001010100,787.0,311.0,2565.0,3352.0,23,9
1,1111.0,1258.0,0.0,0.0,357.0,0.0,307.0,202001010100,202001010200,664.0,307.0,2369.0,3033.0,22,10
2,1110.0,1106.0,0.0,0.0,238.0,0.0,361.0,202001010200,202001010300,599.0,361.0,2216.0,2815.0,21,13
3,1109.0,1014.0,0.0,0.0,174.0,0.0,445.0,202001010300,202001010400,619.0,445.0,2123.0,2742.0,23,16
4,1109.0,1012.0,0.0,0.0,170.0,0.0,558.0,202001010400,202001010500,728.0,558.0,2121.0,2849.0,26,20
5,1117.0,1013.0,0.0,0.0,133.0,1.0,662.0,202001010500,202001010600,796.0,663.0,2130.0,2926.0,27,23
6,1109.0,1013.0,0.0,0.0,151.0,132.0,722.0,202001010600,202001010700,1005.0,854.0,2122.0,3127.0,32,27
7,1108.0,1049.0,0.0,0.0,145.0,549.0,756.0,202001010700,202001010800,1450.0,1305.0,2157.0,3607.0,40,36
8,1110.0,1219.0,0.0,0.0,170.0,899.0,740.0,202001010800,202001010900,1809.0,1639.0,2329.0,4138.0,44,40
9,1137.0,1456.0,0.0,0.0,198.0,1167.0,733.0,202001010900,202001011000,2098.0,1900.0,2593.0,4691.0,45,41
10,1137.0,1410.0,0.0,0.0,196.0,1241.0,825.0,202001011000,202001011100,2262.0,2066.0,2547.0,4809.0,47,43
11,1104.0,1168.0,0.0,0.0,143.0,1124.0,950.0,202001011100,202001011200,2217.0,2074.0,2272.0,4489.0,49,46
12,1110.0,1075.0,0.0,0.0,61.0,865.0,1076.0,202001011200,202001011300,2002.0,1941.0,2185.0,4187.0,48,46
13,1113.0,1207.0,0.0,0.0,65.0,465.0,1132.0,202001011300,202001011400,1662.0,1597.0,2320.0,3982.0,42,40
14,1108.0,1373.0,0.0,0.0,223.0,132.0,1164.0,202001011400,202001011500,1519.0,1296.0,2481.0,4000.0,38,32
15,1095.0,1553.0,0.0,0.0,278.0,2.0,1290.0,202001011500,202001011600,1570.0,1292.0,2648.0,4218.0,37,31
16,1093.0,1930.0,0.0,43.0,364.0,0.0,1301.0,202001011600,202001011700,1708.0,1301.0,3023.0,4731.0,36,27
17,1088.0,1668.0,0.0,86.0,632.0,0.0,1294.0,202001011700,202001011800,2012.0,1294.0,2756.0,4768.0,42,27
18,1080.0,1648.0,0.0,206.0,633.0,0.0,1286.0,202001011800,202001011900,2125.0,1286.0,2728.0,4853.0,44,26
19,1090.0,1480.0,0.0,308.0,431.0,0.0,1292.0,202001011900,202001012000,2031.0,1292.0,2570.0,4601.0,44,28
20,1093.0,1436.0,0.0,117.0,257.0,0.0,1305.0,202001012000,202001012100,1679.0,1305.0,2529.0,4208.0,40,31
21,1093.0,1229.0,0.0,133.0,186.0,0.0,1286.0,202001012100,202001012200,1605.0,1286.0,2322.0,3927.0,41,33
22,1167.0,839.0,0.0,121.0,201.0,0.0,1239.0,202001012200,202001012300,1561.0,1239.0,2006.0,3567.0,44,35
23,1149.0,749.0,0.0,0.0,125.0,0.0,1213.0,202001012300,202001020000,1338.0,1213.0,1898.0,3236.0,41,37
24,1106.0,792.0,0.0,0.0,138.0,0.0,1178.0,202001020000,202001020100,1316.0,1178.0,1898.0,3214.0,41,37
25,1095.0,698.0,0.0,0.0,59.0,0.0,1238.0,202001020100,202001020200,1297.0,1238.0,1793.0,3090.0,42,40
26,1097.0,691.0,0.0,0.0,58.0,0.0,1287.0,202001020200,202001020300,1345.0,1287.0,1788.0,3133.0,43,41
27,1100.0,610.0,0.0,0.0,49.0,0.0,1315.0,202001020300,202001020400,1364.0,1315.0,1710.0,3074.0,44,43
28,1119.0,631.0,0.0,0.0,76.0,0.0,1353.0,202001020400,202001020500,1429.0,1353.0,1750.0,3179.0,45,43
