group_id,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
0,136.25,325.75,629.0,,,,19.0,13.0,1939.5,74.0,11.5,0.0,19.0,229.5,202001010000,202001010100,292.0,229.5,3104.5,3396.5,9,7
1,113.0,293.5,591.5,,,,19.0,13.0,1920.0,73.0,10.0,0.0,19.5,205.5,202001010100,202001010200,267.0,205.5,2991.0,3258.0,8,6
2,107.75,251.25,591.75,,,,19.0,13.0,1934.25,73.0,10.0,0.0,19.0,186.75,202001010200,202001010300,247.75,186.75,2958.0,3205.75,8,6
3,107.25,245.25,549.75,,,,19.0,13.0,1939.75,74.0,9.75,0.0,18.5,213.5,202001010300,202001010400,273.75,213.5,2916.0,3189.75,9,7
4,110.5,245.75,547.5,,,,19.0,13.0,1938.25,75.0,10.0,0.0,19.0,210.0,202001010400,202001010500,271.0,210.0,2917.0,3188.0,9,7
5,130.0,227.5,540.0,,,,19.0,13.0,1939.5,75.0,12.75,0.0,18.75,197.0,202001010500,202001010600,260.5,197.0,2912.0,3172.5,8,6
6,139.25,184.75,558.5,,,,19.0,13.0,1939.0,75.0,15.0,6.25,18.5,181.5,202001010600,202001010700,253.25,187.75,2896.5,3149.75,8,6
7,141.5,255.25,527.75,,,,19.0,13.0,1938.75,76.0,15.75,90.5,18.0,149.5,202001010700,202001010800,305.75,240.0,2939.25,3245.0,9,7
8,141.25,225.5,524.75,,,,19.0,13.0,1938.75,81.0,15.75,255.0,19.25,113.25,202001010800,202001010900,435.25,368.25,2911.25,3346.5,13,11
9,138.0,178.75,480.0,,,,18.5,13.0,1938.75,82.0,15.0,436.0,19.0,101.25,202001010900,202001011000,602.75,537.25,2817.5,3420.25,18,16
10,140.5,179.0,410.0,,,,18.0,13.0,1939.0,80.0,15.0,515.25,18.75,109.0,202001011000,202001011100,689.0,624.25,2748.5,3437.5,20,18
11,142.0,178.75,429.75,,,,18.25,13.0,1917.5,80.0,14.5,494.75,18.25,104.25,202001011100,202001011200,663.0,599.0,2748.0,3411.0,19,18
12,141.0,179.0,409.0,,,,18.75,13.0,1903.5,80.0,15.0,367.75,18.25,103.75,202001011200,202001011300,536.5,471.5,2712.5,3249.0,17,15
13,140.0,211.0,552.25,,,,18.75,13.5,1902.25,79.0,14.0,179.75,17.75,71.5,202001011300,202001011400,315.25,251.25,2884.5,3199.75,10,8
14,135.0,318.5,589.5,,,,19.0,14.0,1937.5,79.0,14.75,38.75,17.5,42.75,202001011400,202001011500,146.75,81.5,3059.5,3206.25,5,3
15,131.75,351.75,629.5,,,,18.25,14.0,1937.25,78.0,14.75,0.5,17.75,43.25,202001011500,202001011600,108.5,43.75,3128.25,3236.75,3,1
16,128.0,372.0,704.25,,,,19.0,14.0,1936.75,78.0,14.0,0.0,18.25,32.75,202001011600,202001011700,98.0,32.75,3219.0,3317.0,3,1
17,129.5,356.75,685.5,,,,19.0,14.0,1935.75,73.0,14.0,0.0,18.5,19.75,202001011700,202001011800,85.25,19.75,3180.5,3265.75,3,1
18,128.5,373.5,742.25,,,,19.0,14.0,1934.5,73.0,14.0,0.0,18.5,21.25,202001011800,202001011900,86.75,21.25,3251.75,3338.5,3,1
19,127.0,352.5,730.5,,,,19.0,14.0,1934.5,73.0,14.0,0.0,19.25,29.0,202001011900,202001012000,95.25,29.0,3217.5,3312.75,3,1
20,126.0,330.25,715.5,,,,19.0,14.0,1936.0,74.0,13.75,0.0,19.0,20.25,202001012000,202001012100,86.0,20.25,3181.75,3267.75,3,1
21,123.0,370.25,733.75,,,,19.0,14.0,1936.5,74.0,13.75,0.0,18.75,16.0,202001012100,202001012200,81.5,16.0,3237.5,3319.0,2,0
22,131.25,357.5,698.75,,,,19.0,14.0,1936.5,74.0,13.75,0.0,19.0,23.25,202001012200,202001012300,89.0,23.25,3198.0,3287.0,3,1
23,133.25,299.25,566.25,,,,19.0,14.0,1936.5,74.0,14.0,0.0,19.0,31.25,202001012300,202001020000,97.25,31.25,3009.25,3106.5,3,1
24,129.25,239.0,601.5,,,,19.0,14.0,1937.25,74.0,11.0,0.0,19.25,25.25,202001020000,202001020100,88.5,25.25,2981.0,3069.5,3,1
25,108.5,225.25,582.75,,,,18.5,14.0,1937.25,73.0,7.0,0.0,19.0,17.0,202001020100,202001020200,75.5,17.0,2926.75,3002.25,3,1
26,102.0,193.75,580.75,,,,18.25,14.0,1936.25,73.0,8.0,0.0,19.0,15.75,202001020200,202001020300,75.0,15.75,2885.75,2960.75,3,1
27,105.0,200.25,547.25,,,,18.5,14.0,1935.75,74.0,8.0,0.0,19.25,13.25,202001020300,202001020400,73.0,13.25,2862.25,2935.25,2,0
28,120.0,270.0,603.25,,,,18.5,14.0,1897.25,75.0,12.0,0.0,18.75,9.75,202001020400,202001020500,73.0,9.75,2965.5,3038.5,2,0
29,133.75,294.5,588.25,,,,19.0,14.0,1936.5,75.0,14.25,0.0,18.75,6.0,202001020500,202001020600,72.0,6.0,3028.0,3100.0,2,0
30,131.75,267.25,572.0,,,,18.5,14.0,1937.5,75.0,15.0,3.5,19.0,11.0,202001020600,202001020700,81.0,14.5,2983.5,3064.5,3,0
31,133.5,283.5,675.25,,,,18.5,14.0,1938.5,76.0,15.25,64.75,19.25,3.5,202001020700,202001020800,135.25,68.25,3106.75,3242.0,4,2
32,135.25,247.75,705.75,,,,17.75,14.0,1939.0,81.0,16.0,189.75,18.5,3.25,202001020800,202001020900,259.25,193.0,3108.75,3368.0,8,6
33,138.25,199.75,757.5,,,,16.5,13.75,1939.0,82.0,15.25,309.0,18.5,2.5,202001020900,202001021000,375.5,311.5,3116.5,3492.0,11,9
34,141.0,193.0,733.25,,,,17.75,12.0,1939.5,80.0,14.75,354.25,18.25,1.0,202001021000,202001021100,418.0,355.25,3086.75,3504.75,12,10
35,142.5,221.75,702.5,,,,19.0,14.5,1942.25,80.0,13.0,338.0,18.25,0.25,202001021100,202001021200,403.0,338.25,3089.0,3492.0,12,10
36,144.75,226.25,700.5,,,,18.5,15.0,1942.0,80.0,13.25,258.5,17.5,1.0,202001021200,202001021300,323.75,259.5,3093.5,3417.25,9,8
37,142.5,216.0,707.75,,,,19.0,15.0,1940.75,79.0,14.0,137.0,18.75,3.75,202001021300,202001021400,207.5,140.75,3086.0,3293.5,6,4
38,140.75,269.25,700.75,,,,19.0,15.0,1940.5,79.0,14.0,36.25,17.5,8.0,202001021400,202001021500,109.75,44.25,3130.25,3240.0,3,1
39,136.25,272.5,655.0,,,,19.0,15.0,1934.25,78.0,14.75,0.5,19.25,23.75,202001021500,202001021600,92.25,24.25,3076.0,3168.25,3,1
40,132.75,212.0,699.75,,,,19.0,15.0,1942.25,78.0,14.0,0.0,18.25,48.25,202001021600,202001021700,114.5,48.25,3064.75,3179.25,4,2
41,136.25,232.25,650.25,,,,19.0,15.0,1942.5,73.0,14.0,0.0,18.0,63.75,202001021700,202001021800,129.75,63.75,3034.25,3164.0,4,2
42,135.0,243.0,627.5,,,,18.25,15.0,1942.25,73.0,14.0,0.0,18.5,85.0,202001021800,202001021900,150.75,85.0,3020.75,3171.5,5,3
43,138.0,190.75,684.5,,,,18.0,15.0,1941.5,73.0,13.0,0.0,19.25,97.0,202001021900,202001022000,162.25,97.0,3027.75,3190.0,5,3
44,139.75,197.5,772.75,,,,18.0,15.0,1941.25,74.0,14.0,0.0,19.0,77.0,202001022000,202001022100,143.0,77.0,3125.25,3268.25,4,2
45,140.5,212.75,727.0,,,,18.0,15.0,1940.0,74.0,13.0,0.0,18.75,74.5,202001022100,202001022200,139.25,74.5,3094.25,3233.5,4,2
46,145.0,201.0,718.0,,,,18.0,15.0,1938.75,74.0,13.5,0.0,18.25,77.25,202001022200,202001022300,142.0,77.25,3076.75,3218.75,4,2
47,143.0,251.0,716.75,,,,18.0,15.0,1938.75,76.0,13.25,0.0,16.5,79.75,202001022300,202001030000,142.5,79.75,3125.5,3268.0,4,2
48,133.75,292.25,735.0,,,,18.0,15.0,1938.75,76.0,10.75,0.0,16.0,63.75,202001030000,202001030100,123.5,63.75,3175.75,3299.25,4,2
49,111.25,295.75,640.0,,,,18.0,15.0,1937.75,75.0,6.75,0.0,15.5,48.75,202001030100,202001030200,104.0,48.75,3059.75,3163.75,3,2
50,105.0,304.75,578.5,,,,18.0,15.0,1937.75,75.0,6.0,0.0,16.0,50.25,202001030200,202001030300,105.25,50.25,3001.0,3106.25,3,2
51,107.0,259.0,646.0,,,,18.0,15.0,1937.25,75.0,7.0,0.0,15.25,26.0,202001030300,202001030400,81.25,26.0,3024.25,3105.5,3,1
52,122.5,287.75,751.0,,,,18.0,15.75,1899.0,76.0,11.5,0.0,15.75,11.25,202001030400,202001030500,72.25,11.25,3136.25,3208.5,2,0
53,134.5,312.75,673.0,,,,18.0,16.0,1936.25,76.0,13.5,0.0,15.25,10.75,202001030500,202001030600,73.5,10.75,3132.5,3206.0,2,0
54,136.0,296.25,699.5,,,,18.0,16.0,1937.25,75.0,14.25,1.25,16.0,16.75,202001030600,202001030700,82.25,18.0,3144.0,3226.25,3,1
55,138.5,321.0,818.5,,,,18.0,16.0,1938.0,75.0,15.0,24.75,16.0,10.0,202001030700,202001030800,99.75,34.75,3291.0,3390.75,3,1
56,138.75,369.25,891.25,,,,18.0,16.0,1936.75,80.0,15.0,73.25,15.0,17.75,202001030800,202001030900,155.0,91.0,3416.0,3571.0,4,3
57,143.25,366.75,1071.0,,,,18.0,14.5,1937.25,81.0,15.0,111.75,15.75,0.25,202001030900,202001031000,175.25,112.0,3599.25,3774.5,5,3
58,147.75,368.0,1072.75,,,,18.0,13.75,1932.5,80.0,15.0,122.75,16.25,1.0,202001031000,202001031100,186.75,123.75,3601.0,3787.75,5,3
59,143.25,371.75,1057.0,,,,18.0,15.25,1937.75,79.0,14.25,112.75,15.5,0.0,202001031100,202001031200,175.75,112.75,3588.75,3764.5,5,3
60,141.5,360.25,1061.5,,7.0,,18.0,14.75,1937.0,79.0,14.25,82.0,15.5,0.0,202001031200,202001031300,144.5,82.0,3586.25,3730.75,4,2
61,136.0,353.0,946.75,,9.0,,18.0,16.0,1938.25,80.0,14.0,41.75,15.75,0.0,202001031300,202001031400,105.5,41.75,3463.0,3568.5,3,1
62,132.0,354.0,886.25,,,,18.0,16.0,1938.0,80.0,14.25,7.75,16.0,0.0,202001031400,202001031500,72.0,7.75,3390.25,3462.25,2,0
63,135.75,365.25,811.5,,,,18.0,16.0,1925.25,80.5,15.0,0.0,16.25,0.0,202001031500,202001031600,65.25,0.0,3318.25,3383.5,2,0
64,134.75,365.5,775.0,,,,18.0,16.0,1937.25,80.5,14.5,0.0,15.75,0.0,202001031600,202001031700,64.25,0.0,3293.0,3357.25,2,0
65,136.25,381.5,769.25,,,,18.0,16.0,1936.75,75.0,14.25,0.0,16.5,0.0,202001031700,202001031800,64.75,0.0,3298.75,3363.5,2,0
66,138.0,374.25,817.0,,,,18.0,16.0,1936.5,75.0,13.5,0.0,16.25,0.0,202001031800,202001031900,63.75,0.0,3340.75,3404.5,2,0
67,136.5,367.25,792.25,,,,18.0,16.0,1936.0,75.0,13.0,0.0,15.5,0.0,202001031900,202001032000,62.5,0.0,3307.0,3369.5,2,0
68,140.5,362.75,794.0,,,,18.0,16.0,1935.25,75.0,13.5,0.0,15.25,0.0,202001032000,202001032100,62.75,0.0,3307.5,3370.25,2,0
69,120.5,356.0,789.25,,,,18.0,16.0,1937.25,75.0,13.25,0.0,15.5,0.0,202001032100,202001032200,62.75,0.0,3278.0,3340.75,2,0
