group_id,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
0,9.0,7203.5,2023.25,0.0,485.0,886.25,0.0,439.5,116.0,119.5,202001010000,202001010100,675.0,235.5,10607.0,11282.0,6,2
1,9.0,6659.25,1980.75,0.0,484.0,661.0,0.0,436.25,110.5,123.25,202001010100,202001010200,670.0,233.75,9794.0,10464.0,6,2
2,9.0,6454.75,1476.5,0.0,484.0,630.5,0.0,437.0,135.25,107.25,202001010200,202001010300,679.5,242.5,9054.75,9734.25,7,2
3,9.0,6281.75,1124.5,0.0,484.75,630.75,0.0,428.75,143.0,106.25,202001010300,202001010400,678.0,249.25,8530.75,9208.75,7,3
4,9.25,6114.75,1105.0,0.0,485.0,630.75,0.0,427.5,134.5,108.5,202001010400,202001010500,670.5,243.0,8344.75,9015.25,7,3
5,9.0,5978.75,1105.5,0.0,485.0,642.75,0.0,420.75,110.0,99.5,202001010500,202001010600,630.25,209.5,8221.0,8851.25,7,2
6,9.0,6106.5,1107.75,0.0,485.0,712.75,0.0,419.5,105.75,90.25,202001010600,202001010700,615.5,196.0,8421.0,9036.5,7,2
7,10.0,6044.25,1112.0,0.0,485.0,751.75,0.0,426.25,85.5,86.75,202001010700,202001010800,598.5,172.25,8403.0,9001.5,7,2
8,9.0,6079.5,1184.0,0.0,485.0,798.25,1.0,419.5,147.75,101.5,202001010800,202001010900,669.75,250.25,8555.75,9225.5,7,3
9,9.0,6237.75,1194.5,0.0,485.0,838.25,5.75,415.0,170.25,106.0,202001010900,202001011000,697.0,282.0,8764.5,9461.5,7,3
10,9.0,6573.5,1200.25,0.0,485.0,946.0,9.25,415.5,186.5,95.5,202001011000,202001011100,706.75,291.25,9213.75,9920.5,7,3
11,9.0,6539.75,1271.0,0.0,485.0,978.5,11.5,413.5,274.25,78.0,202001011100,202001011200,777.25,363.75,9283.25,10060.5,8,4
12,9.0,6423.75,1345.25,0.0,485.0,967.75,10.25,415.25,264.25,80.0,202001011200,202001011300,769.75,354.5,9230.75,10000.5,8,4
13,9.0,6219.0,1421.75,0.0,485.0,939.75,9.0,416.0,233.5,86.0,202001011300,202001011400,744.5,328.5,9074.5,9819.0,8,3
14,9.0,6675.0,1506.0,0.0,485.0,956.5,3.0,418.25,197.5,99.0,202001011400,202001011500,717.75,299.5,9631.5,10349.25,7,3
