,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Offshore,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
0,363.0,636.0,0.0,333.0,2338.0,976.0,31.0,0.0,,40.0,202001010000,202001010100,3687.0,40.0,1030.0,4717.0,78,1
1,359.0,464.0,0.0,28.0,2293.0,898.0,31.0,0.0,,47.0,202001010100,202001010200,3266.0,47.0,854.0,4120.0,79,1
2,362.0,412.0,0.0,28.0,2297.0,679.0,32.0,0.0,,65.0,202001010200,202001010300,3069.0,65.0,806.0,3875.0,79,2
3,361.0,414.0,0.0,111.0,2162.0,882.0,32.0,0.0,,87.0,202001010300,202001010400,3242.0,87.0,807.0,4049.0,80,2
4,358.0,413.0,0.0,134.0,2249.0,937.0,32.0,0.0,,98.0,202001010400,202001010500,3418.0,98.0,803.0,4221.0,81,2
5,360.0,413.0,0.0,81.0,2258.0,864.0,32.0,0.0,,114.0,202001010500,202001010600,3317.0,114.0,805.0,4122.0,80,3
6,358.0,477.0,0.0,174.0,2249.0,949.0,31.0,0.0,,104.0,202001010600,202001010700,3476.0,104.0,866.0,4342.0,80,2
7,360.0,710.0,0.0,175.0,2156.0,794.0,30.0,1.0,,105.0,202001010700,202001010800,3231.0,106.0,1100.0,4331.0,75,2
8,358.0,828.0,0.0,179.0,2120.0,806.0,31.0,61.0,,128.0,202001010800,202001010900,3294.0,189.0,1217.0,4511.0,73,4
9,357.0,827.0,0.0,234.0,2128.0,847.0,30.0,212.0,,161.0,202001010900,202001011000,3582.0,373.0,1214.0,4796.0,75,8
10,364.0,824.0,0.0,178.0,2156.0,840.0,31.0,348.0,,164.0,202001011000,202001011100,3686.0,512.0,1219.0,4905.0,75,10
11,360.0,822.0,0.0,140.0,2229.0,860.0,31.0,415.0,,124.0,202001011100,202001011200,3768.0,539.0,1213.0,4981.0,76,11
12,364.0,819.0,0.0,146.0,2245.0,846.0,31.0,448.0,,70.0,202001011200,202001011300,3755.0,518.0,1214.0,4969.0,76,10
13,364.0,816.0,0.0,103.0,2223.0,703.0,30.0,445.0,,57.0,202001011300,202001011400,3531.0,502.0,1210.0,4741.0,74,11
14,363.0,815.0,0.0,62.0,2218.0,719.0,29.0,395.0,,57.0,202001011400,202001011500,3451.0,452.0,1207.0,4658.0,74,10
15,358.0,995.0,0.0,296.0,2233.0,791.0,29.0,281.0,,54.0,202001011500,202001011600,3655.0,335.0,1382.0,5037.0,73,7
16,353.0,1070.0,0.0,687.0,2303.0,1055.0,31.0,94.0,,68.0,202001011600,202001011700,4207.0,162.0,1454.0,5661.0,74,3
17,342.0,1075.0,0.0,1763.0,2346.0,1125.0,26.0,3.0,,79.0,202001011700,202001011800,5316.0,82.0,1443.0,6759.0,79,1
18,332.0,1077.0,0.0,2129.0,2365.0,1163.0,12.0,0.0,,62.0,202001011800,202001011900,5719.0,62.0,1421.0,7140.0,80,1
19,333.0,1083.0,0.0,1710.0,2368.0,1154.0,12.0,0.0,,66.0,202001011900,202001012000,5298.0,66.0,1428.0,6726.0,79,1
20,328.0,1082.0,0.0,1782.0,2361.0,1130.0,10.0,0.0,,85.0,202001012000,202001012100,5358.0,85.0,1420.0,6778.0,79,1
21,328.0,1086.0,0.0,1800.0,2334.0,1052.0,9.0,0.0,,93.0,202001012100,202001012200,5279.0,93.0,1423.0,6702.0,79,1
22,328.0,702.0,0.0,826.0,2304.0,953.0,11.0,0.0,,139.0,202001012200,202001012300,4222.0,139.0,1041.0,5263.0,80,3
